512  512
0.0  16179,49
409,5207
409,8329
410,1455
410,4587
410,7723
411,0864
411,401
411,7161
412,0316
412,3477
412,6642
412,9812
413,2987
413,6167
413,9351
414,2541
414,5735
414,8935
415,2139
415,5349
415,8563
416,1782
416,5007
416,8236
417,147
417,471
417,7954
418,1203
418,4458
418,7717
419,0982
419,4252
419,7527
420,0807
420,4092
420,7382
421,0677
421,3978
421,7284
422,0594
422,3911
422,7232
423,0558
423,389
423,7227
424,057
424,3917
424,727
425,0628
425,3992
425,7361
426,0735
426,4114
426,7499
427,0889
427,4285
427,7686
428,1092
428,4504
428,7922
429,1345
429,4773
429,8207
430,1646
430,5091
430,8541
431,1997
431,5458
431,8925
432,2397
432,5875
432,9359
433,2848
433,6343
433,9844
434,335
434,6862
435,038
435,3903
435,7432
436,0967
436,4507
436,8053
437,1605
437,5163
437,8727
438,2296
438,5871
438,9452
439,3039
439,6632
440,023
440,3835
440,7445
441,1062
441,4684
441,8312
442,1946
442,5587
442,9233
443,2885
443,6543
444,0208
444,3878
444,7554
445,1237
445,4925
445,862
446,2321
446,6028
446,9741
447,346
447,7186
448,0918
448,4656
448,84
449,215
449,5907
449,967
450,344
450,7215
451,0997
451,4786
451,858
452,2381
452,6189
453,0003
453,3823
453,765
454,1483
454,5323
454,9169
455,3022
455,6881
456,0747
456,462
456,8499
457,2384
457,6276
458,0175
458,4081
458,7993
459,1912
459,5837
459,9769
460,3708
460,7654
461,1607
461,5566
461,9532
462,3505
462,7485
463,1471
463,5465
463,9465
464,3473
464,7487
465,1508
465,5536
465,9571
466,3613
466,7662
467,1719
467,5782
467,9852
468,393
468,8014
469,2106
469,6205
470,031
470,4424
470,8544
471,2672
471,6806
472,0948
472,5098
472,9254
473,3418
473,759
474,1768
474,5954
475,0148
475,4349
475,8557
476,2773
476,6996
477,1227
477,5465
477,9711
478,3964
478,8225
479,2494
479,677
480,1054
480,5345
480,9644
481,3951
481,8265
482,2588
482,6918
483,1256
483,5601
483,9955
484,4316
484,8685
485,3062
485,7447
486,184
486,6241
487,065
487,5066
487,9491
488,3924
488,8365
489,2814
489,7271
490,1736
490,621
491,0691
491,5181
491,9679
492,4185
492,87
493,3222
493,7754
494,2293
494,6841
495,1397
495,5961
496,0534
496,5116
496,9706
497,4304
497,8911
498,3526
498,815
499,2783
499,7424
500,2074
500,6732
501,14
501,6075
502,076
502,5453
503,0156
503,4867
503,9586
504,4315
504,9053
505,3799
505,8554
506,3319
506,8092
507,2874
507,7666
508,2466
508,7276
509,2094
509,6922
510,1759
510,6605
511,146
511,6325
512,1199
512,6082
513,0974
513,5876
514,0787
514,5708
515,0638
515,5577
516,0526
516,5485
517,0453
517,543
518,0417
518,5414
519,0421
519,5437
520,0462
520,5498
521,0543
521,5598
522,0663
522,5738
523,0823
523,5917
524,1022
524,6136
525,126
525,6395
526,1539
526,6694
527,1859
527,7033
528,2218
528,7413
529,2619
529,7835
530,3061
530,8297
531,3543
531,88
532,4068
532,9346
533,4634
533,9933
534,5242
535,0562
535,5893
536,1234
536,6586
537,1948
537,7322
538,2706
538,81
539,3506
539,8923
540,435
540,9788
541,5238
542,0698
542,6169
543,1651
543,7145
544,2649
544,8165
545,3692
545,923
546,478
547,034
547,5912
548,1496
548,709
549,2697
549,8314
550,3943
550,9584
551,5236
552,09
552,6576
553,2263
553,7962
554,3673
554,9395
555,5129
556,0876
556,6634
557,2404
557,8186
558,398
558,9786
559,5604
560,1434
560,7276
561,3131
561,8998
562,4877
563,0768
563,6672
564,2588
564,8517
565,4458
566,0412
566,6378
567,2357
567,8348
568,4352
569,0369
569,6398
570,2441
570,8496
571,4564
572,0645
572,6739
573,2845
573,8965
574,5098
575,1244
575,7404
576,3576
576,9762
577,5961
578,2173
578,8399
579,4638
580,0891
580,7157
581,3437
581,973
582,6037
583,2357
583,8692
584,504
585,1402
585,7777
586,4167
587,0571
587,6988
588,342
588,9866
589,6326
590,28
590,9288
591,5791
592,2308
592,8839
593,5385
594,1945
594,852
595,5109
596,1713
596,8332
597,4965
598,1613
598,8276
599,4954
600,1646
600,8354
601,5076
602,1814
602,8567
603,5335
604,2118
604,8916
605,573
606,2559
606,9404
607,6264
608,3139
609,003
609,6937
610,3859
611,0798
611,7752
612,4721
613,1707
613,8709
614,5726
615,276
615,981
616,6876
617,3958
618,1056
618,8171
619,5303
620,245
620,9614
621,6795
622,3993
623,1207
623,8438
624,5685
625,295
626,0231
626,753
627,4845
628,2178
628,9527
629,6894
630,4278
631,168
631,9099
632,6535
633,3989
634,1461
634,895
635,6457
636,3981
637,1524
637,9084
638,6662
639,4259
640,1873
640,9506
641,7157
642,4826
643,2513
644,0219
644,7943
645,5686
646,3448
647,1228
647,9027
648,6845
649,4681
650,2537
651,0412
651,8305
652,6218
653,4151
654,2102
655,0073
655,8063
656,6073
657,4102
658,2151
659,022
659,8309
660,6417
661,4546
662,2694
663,0863
663,9051
664,726
665,549
666,3739
667,201
668,03
668,8612
669,6944
670,5297
-896
-892,5
-889
-885,5
-882
-878,5
-875
-871,5
-868
-864,5
-861
-857,5
-854
-850,5
-847
-843,5
-840
-836,5
-833
-829,5
-826
-822,5
-819
-815,5
-812
-808,5
-805
-801,5
-798
-794,5
-791
-787,5
-784
-780,5
-777
-773,5
-770
-766,5
-763
-759,5
-756
-752,5
-749
-745,5
-742
-738,5
-735
-731,5
-728
-724,5
-721
-717,5
-714
-710,5
-707
-703,5
-700
-696,5
-693
-689,5
-686
-682,5
-679
-675,5
-672
-668,5
-665
-661,5
-658
-654,5
-651
-647,5
-644
-640,5
-637
-633,5
-630
-626,5
-623
-619,5
-616
-612,5
-609
-605,5
-602
-598,5
-595
-591,5
-588
-584,5
-581
-577,5
-574
-570,5
-567
-563,5
-560
-556,5
-553
-549,5
-546
-542,5
-539
-535,5
-532
-528,5
-525
-521,5
-518
-514,5
-511
-507,5
-504
-500,5
-497
-493,5
-490
-486,5
-483
-479,5
-476
-472,5
-469
-465,5
-462
-458,5
-455
-451,5
-448
-444,5
-441
-437,5
-434
-430,5
-427
-423,5
-420
-416,5
-413
-409,5
-406
-402,5
-399
-395,5
-392
-388,5
-385
-381,5
-378
-374,5
-371
-367,5
-364
-360,5
-357
-353,5
-350
-346,5
-343
-339,5
-336
-332,5
-329
-325,5
-322
-318,5
-315
-311,5
-308
-304,5
-301
-297,5
-294
-290,5
-287
-283,5
-280
-276,5
-273
-269,5
-266
-262,5
-259
-255,5
-252
-248,5
-245
-241,5
-238
-234,5
-231
-227,5
-224
-220,5
-217
-213,5
-210
-206,5
-203
-199,5
-196
-192,5
-189
-185,5
-182
-178,5
-175
-171,5
-168
-164,5
-161
-157,5
-154
-150,5
-147
-143,5
-140
-136,5
-133
-129,5
-126
-122,5
-119
-115,5
-112
-108,5
-105
-101,5
-98
-94,5
-91
-87,5
-84
-80,5
-77
-73,5
-70
-66,5
-63
-59,5
-56
-52,5
-49
-45,5
-42
-38,5
-35
-31,5
-28
-24,5
-21
-17,5
-14
-10,5
-7
-3,5
0
3,5
7
10,5
14
17,5
21
24,5
28
31,5
35
38,5
42
45,5
49
52,5
56
59,5
63
66,5
70
73,5
77
80,5
84
87,5
91
94,5
98
101,5
105
108,5
112
115,5
119
122,5
126
129,5
133
136,5
140
143,5
147
150,5
154
157,5
161
164,5
168
171,5
175
178,5
182
185,5
189
192,5
196
199,5
203
206,5
210
213,5
217
220,5
224
227,5
231
234,5
238
241,5
245
248,5
252
255,5
259
262,5
266
269,5
273
276,5
280
283,5
287
290,5
294
297,5
301
304,5
308
311,5
315
318,5
322
325,5
329
332,5
336
339,5
343
346,5
350
353,5
357
360,5
364
367,5
371
374,5
378
381,5
385
388,5
392
395,5
399
402,5
406
409,5
413
416,5
420
423,5
427
430,5
434
437,5
441
444,5
448
451,5
455
458,5
462
465,5
469
472,5
476
479,5
483
486,5
490
493,5
497
500,5
504
507,5
511
514,5
518
521,5
525
528,5
532
535,5
539
542,5
546
549,5
553
556,5
560
563,5
567
570,5
574
577,5
581
584,5
588
591,5
595
598,5
602
605,5
609
612,5
616
619,5
623
626,5
630
633,5
637
640,5
644
647,5
651
654,5
658
661,5
665
668,5
672
675,5
679
682,5
686
689,5
693
696,5
700
703,5
707
710,5
714
717,5
721
724,5
728
731,5
735
738,5
742
745,5
749
752,5
756
759,5
763
766,5
770
773,5
777
780,5
784
787,5
791
794,5
798
801,5
805
808,5
812
815,5
819
822,5
826
829,5
833
836,5
840
843,5
847
850,5
854
857,5
861
864,5
868
871,5
875
878,5
882
885,5
889
892,5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
